MAKE,MODEL,MODEL_YR,BODY_STYLE,VEHICLE_TYPE,DRIVE_TRAIN,NUM_OF_SEATING,MIN_GROSS_WEIGHT,MAX_GROSS_WEIGHT,FRNT_VIN,CURB_WEIGHT,SIDE_VIN,POLE_VIN,ROLLOVER_POSSIBILITY,STATIC_STABI_FACTOR,ROLLOVER_STARS,NHTSA_BACKUP_CAMERA,BACKUP_CAMERA,PK,SK
FORD,F-250 (CREW CAB),2026,PU/CC,TRUCK,RWD,6,9900,11400,,,,,0,0,,,,FORD#F-250 (CREW CAB),2026#PU/CC
FORD,F-250 (REGULAR CAB),2026,PU/RC,TRUCK,4WD,3,9900,11000,,,,,0,0,,,,FORD#F-250 (REGULAR CAB),2026#PU/RC
FORD,F-250 (REGULAR CAB),2026,PU/RC,TRUCK,RWD,3,9900,11000,,,,,0,0,,,,FORD#F-250 (REGULAR CAB),2026#PU/RC
FORD,F-250 (SUPER CAB),2026,PU/EC,TRUCK,4WD,6,9900,11400,,,,,0,0,,,,FORD#F-250 (SUPER CAB),2026#PU/EC
FORD,F-250 (SUPER CAB),2026,PU/EC,TRUCK,RWD,6,9900,11400,,,,,0,0,,,,FORD#F-250 (SUPER CAB),2026#PU/EC
FORD,MAVERICK,2026,PU/CC,TRUCK,AWD,5,4970,5240,3FTTW8F90NRA55927,3665,,,0.155,1.26,4,,,FORD#MAVERICK,2026#PU/CC
FORD,MAVERICK,2026,PU/CC,TRUCK,FWD,5,4970,5240,3FTTW8F90NRA55927,3665,,,0.169,1.23,4,,,FORD#MAVERICK,2026#PU/CC
FORD,MAVERICK HEV,2026,PU/CC,TRUCK,AWD,5,5230,5330,3FTTW8F90NRA55927,3665,,,0.155,1.26,4,,,FORD#MAVERICK HEV,2026#PU/CC
FORD,MAVERICK HEV,2026,PU/CC,TRUCK,FWD,5,5230,5330,3FTTW8F90NRA55927,3665,,,0.169,1.23,4,,,FORD#MAVERICK HEV,2026#PU/CC
FORD,MUSTANG,2026,C,PC,RWD,4,4720,4900,,3575,,,0.079,1.59,5,,,FORD#MUSTANG,2026#C
FORD,MUSTANG,2026,2 DR,PC,RWD,4,4580,4810,1FA6P8TH9R5122285,3575,1FA6P8TH4R5121559,1FA6P8TH2R5121799,0.079,1.59,5,,,FORD#MUSTANG,2026#2 DR
FORD,MUSTANG GTD,2026,2 DR,PC,RWD,2,4870,4870,1FA6P8TH9R5122285,3575,1FA6P8TH4R5121559,1FA6P8TH2R5121799,0.079,1.59,5,,,FORD#MUSTANG GTD,2026#2 DR
